bucket,property_a,property_a_label,property_a_unique_systems,property_b,property_b_label,property_b_unique_systems,shared_systems,property_a_overlap_ratio,property_b_overlap_ratio
experiment,transfer,transfer_kcal/mol,64,speed_of_sound,speed_of_sound_m/s,216,18,0.28125,0.08333333333333333
experiment,transfer,transfer_kcal/mol,64,static_relative_permittivity,static_relative_permittivity_unitless,44,12,0.1875,0.2727272727272727
experiment,transfer,transfer_kcal/mol,64,surface_tension,surface_tension_mN/m,1141,49,0.765625,0.04294478527607362
experiment,transfer,transfer_kcal/mol,64,thermal_conductivity,thermal_conductivity_W/m/K,93,17,0.265625,0.1827956989247312
experiment,transfer,transfer_kcal/mol,64,thermal_decomposition_temperature,thermal_decomposition_temperature_K,2756,28,0.4375,0.010159651669085631
experiment,transfer,transfer_kcal/mol,64,transfer,transfer_kcal/mol,64,64,1.0,1.0
experiment,transfer,transfer_kcal/mol,64,viscosity,viscosity_mPa*s_log10,2586,55,0.859375,0.021268368136117557
experiment,transfer,transfer_kcal/mol,64,x_co2,x_CO2_unitless,122,26,0.40625,0.21311475409836064
experiment,viscosity,viscosity_mPa*s_log10,2586,density,density_g/cm^3,5966,2269,0.8774168600154679,0.3803218236674489
experiment,viscosity,viscosity_mPa*s_log10,2586,dynamic_relative_permittivity,dynamic_relative_permittivity_unitless,49,46,0.017788089713843776,0.9387755102040817
experiment,viscosity,viscosity_mPa*s_log10,2586,electrical_conductivity,electrical_conductivity_S/m_log10,703,619,0.23936581593194123,0.8805120910384068
experiment,viscosity,viscosity_mPa*s_log10,2586,equilibrium_pressure,pressure_kPa_log10,95,75,0.029002320185614848,0.7894736842105263
experiment,viscosity,viscosity_mPa*s_log10,2586,glass_transition_temperature,glass_transition_temperature_K,793,268,0.10363495746326373,0.3379571248423707
experiment,viscosity,viscosity_mPa*s_log10,2586,heat_capacity,heat_capacity_J/mol/K,352,270,0.10440835266821345,0.7670454545454546
experiment,viscosity,viscosity_mPa*s_log10,2586,melting_point,melting_point_K,3460,758,0.29311678267594743,0.21907514450867052
experiment,viscosity,viscosity_mPa*s_log10,2586,pec50,pEC50,305,117,0.04524361948955916,0.3836065573770492
experiment,viscosity,viscosity_mPa*s_log10,2586,refractive_index,refractive_index_unitless,726,546,0.2111368909512761,0.7520661157024794
experiment,viscosity,viscosity_mPa*s_log10,2586,self_diffusion_coefficient,self_diffusion_coefficient_10^-9*m^2/s_log10,36,34,0.013147718484145398,0.9444444444444444
experiment,viscosity,viscosity_mPa*s_log10,2586,solvation,solvation_kcal/mol,74,62,0.02397525135344161,0.8378378378378378
experiment,viscosity,viscosity_mPa*s_log10,2586,speed_of_sound,speed_of_sound_m/s,216,189,0.07308584686774942,0.875
experiment,viscosity,viscosity_mPa*s_log10,2586,static_relative_permittivity,static_relative_permittivity_unitless,44,38,0.014694508894044857,0.8636363636363636
experiment,viscosity,viscosity_mPa*s_log10,2586,surface_tension,surface_tension_mN/m,1141,592,0.22892498066511988,0.5188431200701139
experiment,viscosity,viscosity_mPa*s_log10,2586,thermal_conductivity,thermal_conductivity_W/m/K,93,85,0.0328692962103635,0.9139784946236559
experiment,viscosity,viscosity_mPa*s_log10,2586,thermal_decomposition_temperature,thermal_decomposition_temperature_K,2756,496,0.19180201082753287,0.1799709724238026
experiment,viscosity,viscosity_mPa*s_log10,2586,transfer,transfer_kcal/mol,64,55,0.021268368136117557,0.859375
experiment,viscosity,viscosity_mPa*s_log10,2586,viscosity,viscosity_mPa*s_log10,2586,2586,1.0,1.0
experiment,viscosity,viscosity_mPa*s_log10,2586,x_co2,x_CO2_unitless,122,104,0.04021655065738593,0.8524590163934426
experiment,x_co2,x_CO2_unitless,122,density,density_g/cm^3,5966,111,0.9098360655737705,0.0186054307743882
experiment,x_co2,x_CO2_unitless,122,dynamic_relative_permittivity,dynamic_relative_permittivity_unitless,49,27,0.22131147540983606,0.5510204081632653
experiment,x_co2,x_CO2_unitless,122,electrical_conductivity,electrical_conductivity_S/m_log10,703,67,0.5491803278688525,0.0953058321479374
experiment,x_co2,x_CO2_unitless,122,equilibrium_pressure,pressure_kPa_log10,95,34,0.2786885245901639,0.35789473684210527
experiment,x_co2,x_CO2_unitless,122,glass_transition_temperature,glass_transition_temperature_K,793,46,0.3770491803278688,0.058007566204287514
experiment,x_co2,x_CO2_unitless,122,heat_capacity,heat_capacity_J/mol/K,352,63,0.5163934426229508,0.17897727272727273
experiment,x_co2,x_CO2_unitless,122,melting_point,melting_point_K,3460,68,0.5573770491803278,0.019653179190751446
experiment,x_co2,x_CO2_unitless,122,pec50,pEC50,305,36,0.29508196721311475,0.1180327868852459
experiment,x_co2,x_CO2_unitless,122,refractive_index,refractive_index_unitless,726,75,0.6147540983606558,0.10330578512396695
experiment,x_co2,x_CO2_unitless,122,self_diffusion_coefficient,self_diffusion_coefficient_10^-9*m^2/s_log10,36,18,0.14754098360655737,0.5
experiment,x_co2,x_CO2_unitless,122,solvation,solvation_kcal/mol,74,28,0.22950819672131148,0.3783783783783784
experiment,x_co2,x_CO2_unitless,122,speed_of_sound,speed_of_sound_m/s,216,49,0.4016393442622951,0.22685185185185186
experiment,x_co2,x_CO2_unitless,122,static_relative_permittivity,static_relative_permittivity_unitless,44,25,0.20491803278688525,0.5681818181818182
experiment,x_co2,x_CO2_unitless,122,surface_tension,surface_tension_mN/m,1141,85,0.6967213114754098,0.07449605609114812
experiment,x_co2,x_CO2_unitless,122,thermal_conductivity,thermal_conductivity_W/m/K,93,37,0.30327868852459017,0.3978494623655914
experiment,x_co2,x_CO2_unitless,122,thermal_decomposition_temperature,thermal_decomposition_temperature_K,2756,56,0.45901639344262296,0.020319303338171262
experiment,x_co2,x_CO2_unitless,122,transfer,transfer_kcal/mol,64,26,0.21311475409836064,0.40625
experiment,x_co2,x_CO2_unitless,122,viscosity,viscosity_mPa*s_log10,2586,104,0.8524590163934426,0.04021655065738593
experiment,x_co2,x_CO2_unitless,122,x_co2,x_CO2_unitless,122,122,1.0,1.0
